artist,track_name,lyrics,letras_limpas,Silabas,Frequencia,Pontuacao Gramatical,diversidade lexical,diversidade tematica,Tamanho,Versos,Complexidade
queen,0 - 0 - 0 - bohemian-rhapsody," <p>Is this the real life?<br/>Is this just fantasy?<br/>Caught in a landslide<br/>No escape from reality</p><p>Open your eyes<br/>Look up to the skies and see<br/>I'm just a poor boy<br/>I need no sympathy<br/>Because I'm easy come, easy go<br/>Little high, little low<br/>Anyway the wind blows<br/>Doesn't really matter to me<br/>To me</p><p>Mama, just killed a man<br/>Put a gun against his head<br/>Pulled my trigger, now he's dead<br/>Mama, life had just begun<br/>But now I've gone and thrown it all away</p><p>Mama! Ooh!<br/>Didn't mean to make you cry<br/>If I'm not back again this time tomorrow<br/>Carry on, carry on<br/>As if nothing really matters</p><p>Too late, my time has come<br/>Sends shivers down my spine<br/>Body's aching all the time<br/>Goodbye, everybody<br/>I've got to go<br/>Gotta leave you all behind<br/>And face the truth</p><p>Mama! Ooh!<br/>(Anyway the wind blows)<br/>I don't wanna die<br/>I sometimes wish I'd never been born at all</p><p>I see a little silhouetto of a man<br/>Scaramouche! Scaramouche!<br/>Will you do the fandango?<br/>Thunderbolt and lightning<br/>Very, very frightening me!<br/>Galileo! Galileo!<br/>Galileo! Galileo!<br/>Galileo, Figaro!<br/>Magnifico!</p><p>I'm just a poor boy and nobody loves me<br/>(He's just a poor boy from a poor family)<br/>(Spare him his life, from this monstrosity)</p><p>Easy come, easy go<br/>Will you let me go?</p><p>Bismillah!<br/>No, we will not let you go!<br/>(Let him go!)<br/>Bismillah!<br/>We will not let you go!<br/>(Let him go!)<br/>Bismillah!<br/>We will not let you go!<br/>(Let me go!)<br/>Will not let you go!<br/>(Let me go!)<br/>Never, never let you go!<br/>Never, never, never let me go!<br/>No, no, no, no, no, no, no!</p><p>Oh, mamma mia, mamma mia!<br/>Mamma mia, let me go!<br/>Beelzebub has a devil put aside for me!<br/>For me!<br/>For me!</p><p>So you think you can stone me and spit in my eye?<br/>So you think you can love me and leave me to die?<br/>Oh, baby!<br/>Can't do this to me, baby!<br/>Just gotta get out<br/>Just gotta get right outta here!</p><p>Oh, yeah!<br/>Oh, yeah!</p><p>Nothing really matters<br/>Anyone can see<br/>Nothing really matters<br/>Nothing really matters to me</p><p>Anyway the wind blows</p> ","Is this the real life?
Is this just fantasy?
Caught in a landslide
No escape from reality
 Open your eyes
Look up to the skies and see
I'm just a poor boy
I need no sympathy
Because I'm easy come, easy go
Little high, little low
Anyway the wind blows
Doesn't really matter to me
To me
 Mama, just killed a man
Put a gun against his head
Pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
 Mama! Ooh!
Didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on
As if nothing really matters
 Too late, my time has come
Sends shivers down my spine
Body's aching all the time
Goodbye, everybody
I've got to go
Gotta leave you all behind
And face the truth
 Mama! Ooh!
(Anyway the wind blows)
I don't wanna die
I sometimes wish I'd never been born at all
 I see a little silhouetto of a man
Scaramouche! Scaramouche!
Will you do the fandango?
Thunderbolt and lightning
Very, very frightening me!
Galileo! Galileo!
Galileo! Galileo!
Galileo, Figaro!
Magnifico!
 I'm just a poor boy and nobody loves me
(He's just a poor boy from a poor family)
(Spare him his life, from this monstrosity)
 Easy come, easy go
Will you let me go?
 Bismillah!
No, we will not let you go!
(Let him go!)
Bismillah!
We will not let you go!
(Let him go!)
Bismillah!
We will not let you go!
(Let me go!)
Will not let you go!
(Let me go!)
Never, never let you go!
Never, never, never let me go!
No, no, no, no, no, no, no!
 Oh, mamma mia, mamma mia!
Mamma mia, let me go!
Beelzebub has a devil put aside for me!
For me!
For me!
 So you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby!
Can't do this to me, baby!
Just gotta get out
Just gotta get right outta here!
 Oh, yeah!
Oh, yeah!
 Nothing really matters
Anyone can see
Nothing really matters
Nothing really matters to me
 Anyway the wind blows",4.0,0.4796747967479675,1.8100000000000014,5.8750224113464355,0.012914690189063549,369,1.1594202898550725,1
coldplay,1 - 1 - 1 - the-scientist," <p>Come up to meet you, tell you I'm sorry<br/>You don't know how lovely you are<br/>I had to find you, tell you I need you<br/>And tell you I set you apart</p><p>Tell me your secrets and ask me your questions<br/>Oh, let's go back to the start<br/>Running in circles, coming up tails<br/>Heads on a science apart</p><p>Nobody said it was easy<br/>It's such a shame for us to part<br/>Nobody said it was easy<br/>No one ever said it would be this hard<br/>Oh, take me back to the start</p><p>I was just guessing at numbers and figures<br/>Pulling the puzzles apart<br/>Questions of science, science and progress<br/>Do not speak as loud as my heart</p><p>Tell me you love me, come back and haunt me<br/>Oh, and I rush to the start<br/>Running in circles, chasing our tails<br/>Coming back as we are</p><p>Nobody said it was easy<br/>Oh, it's such a shame for us to part<br/>Nobody said it was easy<br/>No one ever said it would be so hard<br/>I'm going back to the start</p> ","Come up to meet you, tell you I'm sorry
You don't know how lovely you are
I had to find you, tell you I need you
And tell you I set you apart
 Tell me your secrets and ask me your questions
Oh, let's go back to the start
Running in circles, coming up tails
Heads on a science apart
 Nobody said it was easy
It's such a shame for us to part
Nobody said it was easy
No one ever said it would be this hard
Oh, take me back to the start
 I was just guessing at numbers and figures
Pulling the puzzles apart
Questions of science, science and progress
Do not speak as loud as my heart
 Tell me you love me, come back and haunt me
Oh, and I rush to the start
Running in circles, chasing our tails
Coming back as we are
 Nobody said it was easy
Oh, it's such a shame for us to part
Nobody said it was easy
No one ever said it would be so hard
I'm going back to the start",0.0,0.4725274725274725,0.8800000000000006,7.074425220489502,0.010771997272968292,182,1.1304347826086956,1
coldplay,2 - 2 - 2 - fix-you," <p>When you try your best, but you don't succeed<br/>When you get what you want, but not what you need<br/>When you feel so tired, but you can't sleep<br/>Stuck in reverse</p><p>And the tears come streaming down your face<br/>When you lose something you can't replace<br/>When you love someone, but it goes to waste<br/>Could it be worse?</p><p>Lights will guide you home<br/>And ignite your bones<br/>And I will try to fix you</p><p>And high up above or down below<br/>When you're too in love to let it go<br/>But if you never try, you'll never know<br/>Just what you're worth</p><p>Lights will guide you home<br/>And ignite your bones<br/>And I will try to fix you</p><p>Tears stream down your face<br/>When you lose something you cannot replace<br/>Tears stream down your face<br/>And I</p><p>Tears stream down your face<br/>I promise you, I'll learn from my mistakes<br/>Tears stream down your face<br/>And I</p><p>Lights will guide you home<br/>And ignite your bones<br/>And I will try to fix you</p> ","When you try your best, but you don't succeed
When you get what you want, but not what you need
When you feel so tired, but you can't sleep
Stuck in reverse
 And the tears come streaming down your face
When you lose something you can't replace
When you love someone, but it goes to waste
Could it be worse?
 Lights will guide you home
And ignite your bones
And I will try to fix you
 And high up above or down below
When you're too in love to let it go
But if you never try, you'll never know
Just what you're worth
 Lights will guide you home
And ignite your bones
And I will try to fix you
 Tears stream down your face
When you lose something you cannot replace
Tears stream down your face
And I
 Tears stream down your face
I promise you, I'll learn from my mistakes
Tears stream down your face
And I
 Lights will guide you home
And ignite your bones
And I will try to fix you",0.0,0.41714285714285715,0.7100000000000004,7.0935959815979,0.012986081652343273,175,1.5263157894736843,1
nine-inch-nails,3 - 3 - 3 - hurt, <p>I hurt myself today<br/>To see if I still feel<br/>I focus on the pain<br/>The only thing that's real<br/>The needle tears a hole<br/>The old familiar sting<br/>Try to kill it all away<br/>But I remember everything</p><p>What have I become?<br/>My sweetest friend<br/>Everyone I know<br/>Goes away in the end<br/>You could have it all<br/>My empire of dirt<br/>I will let you down<br/>I will make you hurt</p><p>I wear this crown of shit<br/>Upon my liar's chair<br/>Full of broken thoughts<br/>I cannot repair<br/>Beneath the stains of time<br/>The feelings disappear<br/>You are someone else<br/>I am still right here</p><p>What have I become?<br/>My sweetest friend<br/>Everyone I know<br/>Goes away in the end<br/>You could have it all<br/>My empire of dirt<br/>I will let you down<br/>I will make you hurt</p><p>If I could start again<br/>A million miles away<br/>I would keep myself<br/>I would find a way</p> ,"I hurt myself today
To see if I still feel
I focus on the pain
The only thing that's real
The needle tears a hole
The old familiar sting
Try to kill it all away
But I remember everything
 What have I become?
My sweetest friend
Everyone I know
Goes away in the end
You could have it all
My empire of dirt
I will let you down
I will make you hurt
 I wear this crown of shit
Upon my liar's chair
Full of broken thoughts
I cannot repair
Beneath the stains of time
The feelings disappear
You are someone else
I am still right here
 What have I become?
My sweetest friend
Everyone I know
Goes away in the end
You could have it all
My empire of dirt
I will let you down
I will make you hurt
 If I could start again
A million miles away
I would keep myself
I would find a way",0.0,0.5220125786163522,0.7300000000000004,9.216179847717285,0.011285566724836826,159,1.2857142857142858,1
radiohead,4 - 4 - 4 - creep," <p>When you were here before<br/>Couldn't look you in the eye<br/>You're just like an angel<br/>Your skin makes me cry</p><p>You float like a feather<br/>In a beautiful world<br/>I wish I was special<br/>You're so fucking special</p><p>But I'm a creep<br/>I'm a weirdo<br/>What the hell am I doing here?<br/>I don't belong here</p><p>I don't care if it hurts<br/>I wanna have control<br/>I want a perfect body<br/>I want a perfect soul</p><p>I want you to notice<br/>When I'm not around<br/>You're so fucking special<br/>I wish I was special</p><p>But I'm a creep<br/>I'm a weirdo<br/>What the hell am I doing here?<br/>I don't belong here<br/>Oh, oh</p><p>She's running out the door<br/>She's running out<br/>She run, run, run, run<br/>Run</p><p>Whatever makes you happy<br/>Whatever you want<br/>You're so fucking special<br/>I wish I was special</p><p>But I'm a creep<br/>I'm a weirdo<br/>What the hell am I doing here?<br/>I don't belong here<br/>I don't belong here</p> ","When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
 You float like a feather
In a beautiful world
I wish I was special
You're so fucking special
 But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
 I don't care if it hurts
I wanna have control
I want a perfect body
I want a perfect soul
 I want you to notice
When I'm not around
You're so fucking special
I wish I was special
 But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
Oh, oh
 She's running out the door
She's running out
She run, run, run, run
Run
 Whatever makes you happy
Whatever you want
You're so fucking special
I wish I was special
 But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't belong here",1.0,0.40718562874251496,1.0800000000000007,4.305222988128662,0.016854001209139824,167,1.52,1
radiohead,5 - 5 - 5 - no-surprises," <p>A heart that's full up like a landfill<br/>A job that slowly kills you<br/>Bruises that won't heal</p><p>You look so tired, unhappy<br/>Bring down the government<br/>They don't<br/>They don't speak for us</p><p>I'll take a quiet life<br/>A handshake of carbon monoxide</p><p>And no alarms and no surprises<br/>No alarms and no surprises<br/>No alarms and no surprises</p><p>Silent<br/>Silent</p><p>This is my final fit<br/>My final bellyache with</p><p>No alarms and no surprises<br/>No alarms and no surprises<br/>No alarms and no surprises<br/>Please</p><p>Such a pretty house<br/>And such a pretty garden</p><p>No alarms and no surprises (let me out of here)<br/>No alarms and no surprises (let me out of here)<br/>No alarms and no surprises (let me out of here)<br/>Please</p> ","A heart that's full up like a landfill
A job that slowly kills you
Bruises that won't heal
 You look so tired, unhappy
Bring down the government
They don't
They don't speak for us
 I'll take a quiet life
A handshake of carbon monoxide
 And no alarms and no surprises
No alarms and no surprises
No alarms and no surprises
 Silent
Silent
 This is my final fit
My final bellyache with
 No alarms and no surprises
No alarms and no surprises
No alarms and no surprises
Please
 Such a pretty house
And such a pretty garden
 No alarms and no surprises (let me out of here)
No alarms and no surprises (let me out of here)
No alarms and no surprises (let me out of here)
Please",0.0,0.44881889763779526,0.49000000000000027,4.6280131340026855,0.024615289643406868,127,1.4444444444444444,1
paramore,6 - 6 - 6 - the-only-exception," <p>When I was younger I saw my daddy cry<br/>And curse at the wind<br/>He broke his own heart and I watched<br/>As he tried to reassemble it</p><p>And my momma swore that she would<br/>Never let herself forget<br/>And that was the day that I promised<br/>I'd never sing of love if it does not exist</p><p>But, darling, you are the only exception<br/>You are the only exception<br/>You are the only exception<br/>You are the only exception</p><p>Maybe I know somewhere deep in my soul<br/>That love never lasts<br/>And we've got to find other ways to make it alone<br/>Or keep a straight face</p><p>And I've always lived like this<br/>Keeping a comfortable distance<br/>And up until now I had sworn to myself that I'm content<br/>With loneliness<br/>Because none of it was ever worth the risk</p><p>Well, you are the only exception<br/>You are the only exception<br/>You are the only exception<br/>You are the only exception</p><p>I've got a tight grip on reality, but I can't<br/>Let go of what's in front of me here<br/>I know you're leaving in the morning when you wake up<br/>Leave me with some kind of proof it's not a dream<br/>Whoa, oh</p><p>You are the only exception<br/>You are the only exception<br/>You are the only exception<br/>You are the only exception</p><p>You are the only exception<br/>You are the only exception<br/>You are the only exception<br/>You are the only exception</p><p>And I'm on my way to believing<br/>Oh, and I'm on my way to believing</p> ","When I was younger I saw my daddy cry
And curse at the wind
He broke his own heart and I watched
As he tried to reassemble it
 And my momma swore that she would
Never let herself forget
And that was the day that I promised
I'd never sing of love if it does not exist
 But, darling, you are the only exception
You are the only exception
You are the only exception
You are the only exception
 Maybe I know somewhere deep in my soul
That love never lasts
And we've got to find other ways to make it alone
Or keep a straight face
 And I've always lived like this
Keeping a comfortable distance
And up until now I had sworn to myself that I'm content
With loneliness
Because none of it was ever worth the risk
 Well, you are the only exception
You are the only exception
You are the only exception
You are the only exception
 I've got a tight grip on reality, but I can't
Let go of what's in front of me here
I know you're leaving in the morning when you wake up
Leave me with some kind of proof it's not a dream
Whoa, oh
 You are the only exception
You are the only exception
You are the only exception
You are the only exception
 You are the only exception
You are the only exception
You are the only exception
You are the only exception
 And I'm on my way to believing
Oh, and I'm on my way to believing",0.0,0.4555984555984556,1.320000000000001,5.873050689697266,0.01421304326504469,259,1.4814814814814814,1
foo-fighters,7 - 7 - 7 - the-pretender," <p>Keep you in the dark<br/>You know they all pretend<br/>Keep you in the dark<br/>And so it all began</p><p>Send in your skeletons<br/>Sing as their bones go marching in again<br/>They need you buried deep<br/>The secrets that you keep are at the ready<br/>Are you ready?</p><p>I'm finished making sense<br/>Done pleading ignorance<br/>That whole defense</p><p>Spinning infinity, boy<br/>The wheel is spinning me<br/>It's never ending, never ending<br/>Same old story</p><p>What if I say I'm not like the others?<br/>What if I say I'm not just another one of your plays?<br/>You're the pretender<br/>What if I say that I will never surrender?</p><p>What if I say I'm not like the others?<br/>What if I say I'm not just another one of your plays?<br/>You're the pretender<br/>What if I say that I'll never ever surrender?</p><p>In time or so I'm told<br/>I'm just another soul for sale, oh, well<br/>The page is out of print<br/>We are not permanent<br/>We're temporary, temporary<br/>Same old story</p><p>What if I say I'm not like the others?<br/>What if I say I'm not just another one of your plays?<br/>You're the pretender<br/>What if I say that I'll never surrender?</p><p>What if I say I'm not like the others?<br/>What if I say I'm not just another one of your plays?<br/>You're the pretender<br/>What if I say I will never surrender?</p><p>I'm the voice inside your head<br/>You refuse to hear<br/>I'm the face that you have to face<br/>Mirrored in your stare<br/>I'm what's left, I'm what's right<br/>I'm the enemy<br/>I'm the hand that'll take you down<br/>Bring you to your knees</p><p>So, who are you?<br/>Yeah, who are you?<br/>Yeah, who are you?<br/>Yeah, who are you?</p><p>Keep you in the dark<br/>You know they all pretend</p><p>What if I say I'm not like the others?<br/>What if I say I'm not just another one of your plays?<br/>You're the pretender<br/>What if I say I will never surrender?</p><p>What if I say I'm not like the others?<br/>What if I say I'm not just another one of your plays?<br/>You're the pretender<br/>What if I say that I'll never surrender?</p><p>What if I say you're not like the others? (Keep you in the dark)<br/>What if I say I'm not just another one of your plays? (You know they all)<br/>You're the pretender (pretend)<br/>What if I say I will never surrender?</p><p>What if I say I'm not like the others? (Keep you in the dark)<br/>What if I say I'm not just another one of your plays? (You know they all)<br/>You're the pretender (pretend)<br/>What if I say I will never surrender?</p><p>So, who are you?<br/>Yeah, who are you?<br/>Yeah, who are you?</p> ","Keep you in the dark
You know they all pretend
Keep you in the dark
And so it all began
 Send in your skeletons
Sing as their bones go marching in again
They need you buried deep
The secrets that you keep are at the ready
Are you ready?
 I'm finished making sense
Done pleading ignorance
That whole defense
 Spinning infinity, boy
The wheel is spinning me
It's never ending, never ending
Same old story
 What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say that I will never surrender?
 What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say that I'll never ever surrender?
 In time or so I'm told
I'm just another soul for sale, oh, well
The page is out of print
We are not permanent
We're temporary, temporary
Same old story
 What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say that I'll never surrender?
 What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say I will never surrender?
 I'm the voice inside your head
You refuse to hear
I'm the face that you have to face
Mirrored in your stare
I'm what's left, I'm what's right
I'm the enemy
I'm the hand that'll take you down
Bring you to your knees
 So, who are you?
Yeah, who are you?
Yeah, who are you?
Yeah, who are you?
 Keep you in the dark
You know they all pretend
 What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say I will never surrender?
 What if I say I'm not like the others?
What if I say I'm not just another one of your plays?
You're the pretender
What if I say that I'll never surrender?
 What if I say you're not like the others? (Keep you in the dark)
What if I say I'm not just another one of your plays? (You know they all)
You're the pretender (pretend)
What if I say I will never surrender?
 What if I say I'm not like the others? (Keep you in the dark)
What if I say I'm not just another one of your plays? (You know they all)
You're the pretender (pretend)
What if I say I will never surrender?
 So, who are you?
Yeah, who are you?
Yeah, who are you?",0.0,0.2521551724137931,2.7999999999999843,5.953580379486084,0.012129639275372028,464,1.7317073170731707,1
tool,8 - 8 - 8 - sober," <p>There's a shadow just behind me<br/>Shrouding every step I take<br/>Making every promise empty<br/>Pointing every finger at me<br/>Waiting like a stalking butler<br/>Who upon the finger rests<br/>Murder now the pattern, must we<br/>Just because the son has come</p><p>Jesus, won't you fucking whistle<br/>Something but the past and done?<br/>Jesus, won't you fucking whistle<br/>Something but the past and done?</p><p>Why can't we not be sober?<br/>I just want to start this over<br/>Why can't we drink forever?<br/>I just want to start this over</p><p>I am just a worthless liar<br/>I am just an imbecile<br/>I will only complicate you<br/>Trust in me and fall as well<br/>I will find a center in you<br/>I will chew it up and leave<br/>I will work to elevate you<br/>Just enough to bring you down</p><p>Mother Mary, won't you whisper<br/>Something but the past and done?<br/>Mother Mary, won't you whisper<br/>Something but the past and done?</p><p>Why can't we not be sober?<br/>I just want to start this over<br/>Why can't we sleep forever?<br/>I just want to start this over</p><p>I am just a worthless liar<br/>I am just an imbecile<br/>I will only complicate you<br/>Trust in me and fall as well<br/>I will find a center in you<br/>I will chew it up and leave<br/>Trust me, trust me<br/>Trust me, trust me, trust me</p><p>Why can't we not be sober?<br/>I just want to start things over<br/>Why can't we sleep forever?<br/>I just want to start this over</p><p>I want what I want<br/>I want what I want<br/>I want what I want<br/>I want what I want</p> ","There's a shadow just behind me
Shrouding every step I take
Making every promise empty
Pointing every finger at me
Waiting like a stalking butler
Who upon the finger rests
Murder now the pattern, must we
Just because the son has come
 Jesus, won't you fucking whistle
Something but the past and done?
Jesus, won't you fucking whistle
Something but the past and done?
 Why can't we not be sober?
I just want to start this over
Why can't we drink forever?
I just want to start this over
 I am just a worthless liar
I am just an imbecile
I will only complicate you
Trust in me and fall as well
I will find a center in you
I will chew it up and leave
I will work to elevate you
Just enough to bring you down
 Mother Mary, won't you whisper
Something but the past and done?
Mother Mary, won't you whisper
Something but the past and done?
 Why can't we not be sober?
I just want to start this over
Why can't we sleep forever?
I just want to start this over
 I am just a worthless liar
I am just an imbecile
I will only complicate you
Trust in me and fall as well
I will find a center in you
I will chew it up and leave
Trust me, trust me
Trust me, trust me, trust me
 Why can't we not be sober?
I just want to start things over
Why can't we sleep forever?
I just want to start this over
 I want what I want
I want what I want
I want what I want
I want what I want",0.0,0.3140794223826715,1.450000000000001,8.347671508789062,0.01232853066176176,277,1.7777777777777777,1
linkin-park,9 - 9 - 9 - waiting-for-the-end," <p>This is something for your people on the block to/black out and rock to<br/>Give you whatcha need like Papa/Who shot ya<br/>Separate the weak from the obsolete, you're meek, I creep hard on imposters<br/>And switch styles on the dime/Quick witted ya’ll<br/>Quit tripping I don’t have time for your crying<br/>I grind tough, sucka, make your mind up<br/>Are you in the firing squad or are you in the line-up?<br/>Bang bang/Little monkey man playing</p><p>With the big guns will only get you slain and I ain’t playing<br/>I’m just saying<br/>You ain’t gotta sliver of a chance<br/>I get iller, I deliver/While you quiver in your pants<br/>So shake shake down/Money, here’s the break down<br/>You can play the bank/I’ma play the bank take down<br/>And no mistakes now/I’m coming to getcha<br/>I’m just a Banksy/You’re a brainwash, get the picture?<br/>It’s like that</p><p>This is not the end, this is not the beginning<br/>Just a voice like a riot rocking every revision<br/>But you listen to the tone and the violent rhythm and<br/>Though the words sound steady, something empty's within 'em<br/>We say yeah<br/>With fists flying up in the air<br/>Like we're holding onto something that's invisible there<br/>'Cause we're living at the mercy of the pain and fear<br/>Until we dead it<br/>Forget it<br/>Let it all disappear</p><p>Waiting for the end to come<br/>Wishing I had strength to stand<br/>This is not what I had planned<br/>It's out of my control<br/>Flying at the speed of light<br/>Thoughts were spinning in my head<br/>So many things were left unsaid<br/>It's hard to let you go</p><p>(Oh) I know what it takes to move on<br/>(Oh) I know how it feels to lie<br/>All I wanna do is trade this life for something new<br/>Holding on to what I haven't got</p><p>Sitting in an empty room<br/>Trying to forget the past<br/>This was never meant to last<br/>I wish it wasn't so</p><p>(Oh) I know what it takes to move on<br/>(Oh) I know how it feels to lie<br/>All I wanna do is trade this life for something new<br/>Holding on to what I haven't got</p><p>What was left when that fire was gone<br/>I thought it felt right but that right was wrong<br/>All caught up in the eye of the storm<br/>And trying to figure out what it's like moving on<br/>And I don't even know what kind of things I've said<br/>My mouth kept moving and my mind went dead<br/>So, Picking up the pieces now where to begin<br/>The hardest part of ending is starting again</p><p>All I wanna do is trade this life for something new<br/>Holding on to what I haven't got</p><p>This is not the end, this is not the beginning<br/>Just a voice like a riot rocking every revision<br/>But you listen to the tone and the violent rhythm and<br/>Though the words sound steady, something empty's within 'em<br/>We say yeah<br/>With fists flying up in the air<br/>Like we're holding onto something that's invisible there<br/>'Cause we're living at the mercy of the pain and fear<br/>Until we dead it<br/>Forget it<br/>Let it all disappear</p><p>(Holding on to what I haven't got)</p> ","This is something for your people on the block to/black out and rock to
Give you whatcha need like Papa/Who shot ya
Separate the weak from the obsolete, you're meek, I creep hard on imposters
And switch styles on the dime/Quick witted ya’ll
Quit tripping I don’t have time for your crying
I grind tough, sucka, make your mind up
Are you in the firing squad or are you in the line-up?
Bang bang/Little monkey man playing
 With the big guns will only get you slain and I ain’t playing
I’m just saying
You ain’t gotta sliver of a chance
I get iller, I deliver/While you quiver in your pants
So shake shake down/Money, here’s the break down
You can play the bank/I’ma play the bank take down
And no mistakes now/I’m coming to getcha
I’m just a Banksy/You’re a brainwash, get the picture?
It’s like that
 This is not the end, this is not the beginning
Just a voice like a riot rocking every revision
But you listen to the tone and the violent rhythm and
Though the words sound steady, something empty's within 'em
We say yeah
With fists flying up in the air
Like we're holding onto something that's invisible there
'Cause we're living at the mercy of the pain and fear
Until we dead it
Forget it
Let it all disappear
 Waiting for the end to come
Wishing I had strength to stand
This is not what I had planned
It's out of my control
Flying at the speed of light
Thoughts were spinning in my head
So many things were left unsaid
It's hard to let you go
 (Oh) I know what it takes to move on
(Oh) I know how it feels to lie
All I wanna do is trade this life for something new
Holding on to what I haven't got
 Sitting in an empty room
Trying to forget the past
This was never meant to last
I wish it wasn't so
 (Oh) I know what it takes to move on
(Oh) I know how it feels to lie
All I wanna do is trade this life for something new
Holding on to what I haven't got
 What was left when that fire was gone
I thought it felt right but that right was wrong
All caught up in the eye of the storm
And trying to figure out what it's like moving on
And I don't even know what kind of things I've said
My mouth kept moving and my mind went dead
So, Picking up the pieces now where to begin
The hardest part of ending is starting again
 All I wanna do is trade this life for something new
Holding on to what I haven't got
 This is not the end, this is not the beginning
Just a voice like a riot rocking every revision
But you listen to the tone and the violent rhythm and
Though the words sound steady, something empty's within 'em
We say yeah
With fists flying up in the air
Like we're holding onto something that's invisible there
'Cause we're living at the mercy of the pain and fear
Until we dead it
Forget it
Let it all disappear
 (Holding on to what I haven't got)",0.0,0.4214417744916821,2.959999999999981,5.811951160430908,0.01290491409599781,541,1.320754716981132,1
